run_id,dataset,model_id,max_length,finetuned,average_pool,with_vad,ckpt,seed,decomposition,n_components,standardize,n_threads,glottocode,min_speakers,dry_run,discretization,q,method,iqtree_model,iqtree_bootstrap,dtype,rf_norm_iecor,rf_generalized_iecor,s2r_iecor,rf_norm_gled_indo1319,rf_generalized_gled_indo1319,s2r_gled_indo1319,rf_norm_glottolog_indo1319,rf_generalized_glottolog_indo1319,s2r_glottolog_indo1319,rf_norm_asjp_indo1319,rf_generalized_asjp_indo1319,s2r_asjp_indo1319,rank
dd208931-4817-41ad-b18d-aa6a050a3f42,fleurs-r,facebook/wav2vec2-xls-r-300m,160000,True,False,False,,42,,,False,16,indo1319,0.0000,False,step,,iqtree2,MFP,False,audio,0.5676,0.3090,0.2351,0.6087,0.3467,0.3229,0.6049,0.4013,0.0822,0.5870,0.3171,0.2167,1.2009
648180b8-2e04-43ca-8eff-0cb05404a5c2,fleurs-r,openai/whisper-tiny,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,step,,iqtree2,MFP,False,audio,0.5676,0.2908,0.1835,0.6739,0.4098,0.3751,0.6790,0.4488,0.1313,0.6957,0.3769,0.3413,2.0197
c86ea82b-f04d-4dfb-a484-2c647d105a9c,fleurs-r,mms-meta/mms-zeroshot-300m,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,step,,iqtree2,MFP,True,audio,0.7027,0.3708,0.2102,0.7391,0.4176,0.4002,0.7284,0.4672,0.1756,0.7174,0.3857,0.3381,4.1220
857b8bb6-8e14-4361-a852-22c97d7faedf,fleurs-r,facebook/mms-lid-256,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,step,,iqtree2,MFP,True,audio,0.7297,0.3929,0.3833,0.7174,0.4219,0.4175,0.7037,0.4547,0.1820,0.7391,0.3978,0.2978,4.9157
f21fed2c-28b0-4f37-b152-4a50f67e4ab8,fleurs-r,openai/whisper-base,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,step,,iqtree2,MFP,True,audio,0.6486,0.3911,0.4062,0.6957,0.4541,0.4547,0.7037,0.5074,0.2548,0.6957,0.4197,0.4284,5.4872
bff5a59f-f012-49ea-82f5-d81d6fec9ddd,fleurs-r,facebook/mms-lid-4017,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,step,,iqtree2,MFP,True,audio,0.6486,0.4237,0.3514,0.6957,0.4775,0.5790,0.7037,0.5089,0.3676,0.6739,0.4550,0.5185,5.8059
aae2d9da-6307-42aa-aa4b-7784897d8c99,fleurs-r,facebook/mms-lid-126,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,step,,iqtree2,MFP,True,audio,0.7297,0.4497,0.3169,0.7826,0.4661,0.3867,0.7778,0.4854,0.1691,0.8043,0.4577,0.3954,6.3313
823936da-b7f5-49c4-a6da-46945c283ac1,fleurs-r,NeMo_ambernet,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,step,,iqtree2,MFP,True,audio,0.8108,0.4545,0.3492,0.8261,0.4843,0.3579,0.8272,0.5508,0.2210,0.8261,0.4938,0.4378,7.9893
849e241b-15db-45ff-b1e3-a357e36d67af,fleurs-r,openai/whisper-large-v3-turbo,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,step,,iqtree2,MFP,True,audio,0.7027,0.4743,0.3855,0.7391,0.4956,0.5795,0.7284,0.5342,0.3711,0.7391,0.4697,0.4905,8.5622
de3bb5c6-1fe7-4758-9faf-42a553905fdf,fleurs-r,openai/whisper-small,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,step,,iqtree2,MFP,True,audio,0.7297,0.5055,0.5425,0.6957,0.5279,0.6032,0.7037,0.5904,0.4536,0.6957,0.5058,0.5643,8.9020
25ee134c-e556-454b-8a0c-3eb0287ad13b,fleurs-r,baseline/CNN10,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,kmeans,2.0000,iqtree2,MFP,True,audio,0.8378,0.4622,0.3734,0.7826,0.4980,0.4473,0.8025,0.5595,0.2711,0.8261,0.4888,0.3536,8.9966
7ba527e2-4a4d-4689-9625-58a102a63e53,fleurs-r,baseline/CNN6,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,kmeans,2.0000,iqtree2,MFP,True,audio,0.8649,0.4766,0.3860,0.8261,0.5109,0.4561,0.8272,0.5619,0.2753,0.8478,0.4875,0.3558,10.3649
3f603f9a-e544-4a03-a901-02b81e69cd5c,fleurs-r,openai/whisper-medium,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,step,,iqtree2,MFP,True,audio,0.7838,0.6011,0.6848,0.7609,0.6018,0.6850,0.7531,0.6509,0.5839,0.7391,0.6001,0.6611,11.4884
f4eab389-ebe6-4e2c-a677-03afb90033c8,fleurs-r,speechbrain/lang-id-voxlingua107-ecapa,160000,False,False,False,,42,,,False,16,indo1319,0.0000,False,step,,iqtree2,MFP,True,audio,0.9189,0.7049,0.7183,0.9348,0.7382,0.7426,0.9506,0.7709,0.6612,0.9565,0.7348,0.7452,14.0000
